UniProt_id	UniProt_entry
P0DTE8	AMY1C_HUMAN
P36575	ARRC_HUMAN
P49327	FAS_HUMAN
P02533	K1C14_HUMAN
Q02388	CO7A1_HUMAN
P00533	EGFR_HUMAN
Q684P5	RPGP2_HUMAN
Q92908	GATA6_HUMAN
P50221	MEOX1_HUMAN
Q9Y4Z2	NGN3_HUMAN
Q13219	PAPP1_HUMAN
P55212	CASP6_HUMAN
Q13485	SMAD4_HUMAN
O60565	GREM1_HUMAN
Q9Y2W7	CSEN_HUMAN
P41159	LEP_HUMAN
P12004	PCNA_HUMAN
P48506	GSH1_HUMAN
P04637	P53_HUMAN
Q9H633	RPP21_HUMAN
Q9NPC3	CIP1_HUMAN
O00370	LORF2_HUMAN
P24928	RPB1_HUMAN
Q92738	US6NL_HUMAN
Q05655	KPCD_HUMAN
P12259	FA5_HUMAN
Q9Y5W5	WIF1_HUMAN
Q9P2N4	ATS9_HUMAN
Q86YS3	RFIP4_HUMAN
P21359	NF1_HUMAN
Q9NYS0	KBRS1_HUMAN
Q92838	EDA_HUMAN
Q9UNE0	EDAR_HUMAN
Q9HBU1	BARX1_HUMAN
P98160	PGBM_HUMAN
Q99570	PI3R4_HUMAN
Q96B86	RGMA_HUMAN
Q8NBK3	SUMF1_HUMAN
P34741	SDC2_HUMAN
P49765	VEGFB_HUMAN
Q56P03	EAPP_HUMAN
Q9UGC7	RF1ML_HUMAN
Q13761	RUNX3_HUMAN
Q8IY31	IFT20_HUMAN
P78367	NKX32_HUMAN
P08100	OPSD_HUMAN
A6NGG8	PCARE_HUMAN
P62330	ARF6_HUMAN
Q9UJU2	LEF1_HUMAN
P11362	FGFR1_HUMAN
Q8TAD2	IL17D_HUMAN
P01375	TNFA_HUMAN
P10826	RARB_HUMAN
P21860	ERBB3_HUMAN
Q15303	ERBB4_HUMAN
Q01469	FABP5_HUMAN
P78504	JAG1_HUMAN
P61371	ISL1_HUMAN
Q6PJG2	MDEAS_HUMAN
Q15007	FL2D_HUMAN
P06401	PRGR_HUMAN
P55209	NP1L1_HUMAN
Q9Y3C7	MED31_HUMAN
Q93074	MED12_HUMAN
Q9UIS9	MBD1_HUMAN
O76076	CCN5_HUMAN
Q6FHJ7	SFRP4_HUMAN
O94907	DKK1_HUMAN
O15350	P73_HUMAN
P42772	CDN2B_HUMAN
Q86XX4	FRAS1_HUMAN
P42226	STAT6_HUMAN
P55285	CADH6_HUMAN
Q13976	KGP1_HUMAN
P55075	FGF8_HUMAN
Q9UID3	VPS51_HUMAN
Q99217	AMELX_HUMAN
P47895	AL1A3_HUMAN
P01732	CD8A_HUMAN
P23497	SP100_HUMAN
P06127	CD5_HUMAN
Q6ISU1	PTCRA_HUMAN
Q86YC3	LRC33_HUMAN
