UniProt_id	UniProt_entry
P0DOX6	IGM_HUMAN
P15018	LIF_HUMAN
Q92833	JARD2_HUMAN
P27469	G0S2_HUMAN
Q9Y6K1	DNM3A_HUMAN
P15173	MYOG_HUMAN
P15516	HIS3_HUMAN
Q8N9N2	ASCC1_HUMAN
P20749	BCL3_HUMAN
Q96SQ7	ATOH8_HUMAN
Q8NCU8	MTLN_HUMAN
P06881	CALCA_HUMAN
Q16676	FOXD1_HUMAN
Q6EIG7	CLC6A_HUMAN
P43405	KSYK_HUMAN
Q0WX57	U17LO_HUMAN
P13073	COX41_HUMAN
P14207	FOLR2_HUMAN
P19367	HXK1_HUMAN
O43602	DCX_HUMAN
O00757	F16P2_HUMAN
P52945	PDX1_HUMAN
P19544	WT1_HUMAN
P29317	EPHA2_HUMAN
Q92858	ATOH1_HUMAN
Q13568	IRF5_HUMAN
P01911	DRB1_HUMAN
P01258	CALC_HUMAN
P35713	SOX18_HUMAN
O00501	CLD5_HUMAN
Q8N3R9	PALS1_HUMAN
P35080	PROF2_HUMAN
O14594	NCAN_HUMAN
Q10472	GALT1_HUMAN
Q86TH1	ATL2_HUMAN
P05164	PERM_HUMAN
P07947	YES_HUMAN
P25208	NFYB_HUMAN
Q6P2P2	ANM9_HUMAN
Q9Y3Y2	CHTOP_HUMAN
Q9BYK8	HELZ2_HUMAN
Q9UPY3	DICER_HUMAN
O15392	BIRC5_HUMAN
P42680	TEC_HUMAN
Q13075	BIRC1_HUMAN
Q13489	BIRC3_HUMAN
P55073	IOD3_HUMAN
O14978	ZN263_HUMAN
O75473	LGR5_HUMAN
P08581	MET_HUMAN
Q9H4M9	EHD1_HUMAN
P51681	CCR5_HUMAN
P43694	GATA4_HUMAN
P45379	TNNT2_HUMAN
P36382	CXA5_HUMAN
P43235	CATK_HUMAN
Q08AH1	ACSM1_HUMAN
Q8NER1	TRPV1_HUMAN
P01138	NGF_HUMAN
Q6UXB8	PI16_HUMAN
A8MXV6	CD15L_HUMAN
P50502	F10A1_HUMAN
Q86UY5	FA83A_HUMAN
P21741	MK_HUMAN
P25063	CD24_HUMAN
O43653	PSCA_HUMAN
P23946	CMA1_HUMAN
Q6DJT9	PLAG1_HUMAN
P46089	GPR3_HUMAN
O95644	NFAC1_HUMAN
P13686	PPA5_HUMAN
P01037	CYTN_HUMAN
P16473	TSHR_HUMAN
Q7Z2Y5	NRK_HUMAN
P01241	SOMA_HUMAN
P01236	PRL_HUMAN
Q96HR3	MED30_HUMAN
P43004	EAA2_HUMAN
P18283	GPX2_HUMAN
P18428	LBP_HUMAN
Q8WTS6	SETD7_HUMAN
P46091	CML2_HUMAN
O15155	BET1_HUMAN
Q13591	SEM5A_HUMAN
O43474	KLF4_HUMAN
Q96SD1	DCR1C_HUMAN
P34932	HSP74_HUMAN
P01033	TIMP1_HUMAN
Q13740	CD166_HUMAN
Q9Y520	PRC2C_HUMAN
Q8WUQ7	CATIN_HUMAN
O94921	CDK14_HUMAN
P27694	RFA1_HUMAN
P24071	FCAR_HUMAN
Q5KSL6	DGKK_HUMAN
O75822	EIF3J_HUMAN
Q96JK9	MAML3_HUMAN
Q92506	DHB8_HUMAN
O75367	H2AY_HUMAN
Q6ZVD7	STOX1_HUMAN
Q8N2Y8	RUSC2_HUMAN
P25189	MYP0_HUMAN
P20916	MAG_HUMAN
Q9H4B6	SAV1_HUMAN
P33527	MRP1_HUMAN
P02763	A1AG1_HUMAN
A0A0C5B5G6	MOTSC_HUMAN
Q6EEV6	SUMO4_HUMAN
Q6UWB1	I27RA_HUMAN
Q07869	PPARA_HUMAN
Q8WYA6	CTBL1_HUMAN
P32119	PRDX2_HUMAN
Q9NXV2	KCTD5_HUMAN
O60313	OPA1_HUMAN
O43583	DENR_HUMAN
P0DJI8	SAA1_HUMAN
P02538	K2C6A_HUMAN
P35240	MERL_HUMAN
O75161	NPHP4_HUMAN
Q03135	CAV1_HUMAN
P02730	B3AT_HUMAN
Q13526	PIN1_HUMAN
P35858	ALS_HUMAN
Q9NYJ7	DLL3_HUMAN
O95715	CXL14_HUMAN
P42574	CASP3_HUMAN
Q9BRQ8	FSP1_HUMAN
O60548	FOXD2_HUMAN
O14788	TNF11_HUMAN
P21397	AOFA_HUMAN
P11217	PYGM_HUMAN
Q6EMB2	TTLL5_HUMAN
Q14692	BMS1_HUMAN
P16284	PECA1_HUMAN
P08575	PTPRC_HUMAN
O14965	AURKA_HUMAN
P10747	CD28_HUMAN
P32238	CCKAR_HUMAN
Q9ULD6	INTU_HUMAN
P01024	CO3_HUMAN
Q13454	TUSC3_HUMAN
Q8TAX0	OSR1_HUMAN
Q12778	FOXO1_HUMAN
Q12947	FOXF2_HUMAN
Q02548	PAX5_HUMAN
P23508	CRCM_HUMAN
Q9HBI6	CP4FB_HUMAN
O94885	SASH1_HUMAN
Q9P0U3	SENP1_HUMAN
P11802	CDK4_HUMAN
P05230	FGF1_HUMAN
Q8IVL6	P3H3_HUMAN
P51965	UB2E1_HUMAN
Q9BVV6	TALD3_HUMAN
Q9NYW6	TA2R3_HUMAN
O15539	RGS5_HUMAN
Q01581	HMCS1_HUMAN
O00141	SGK1_HUMAN
O14640	DVL1_HUMAN
Q92585	MAML1_HUMAN
Q8N3D4	EH1L1_HUMAN
O95711	LY86_HUMAN
Q9C0G6	DYH6_HUMAN
P03915	NU5M_HUMAN
Q9UBR4	LHX3_HUMAN
Q969G2	LHX4_HUMAN
Q8IZL9	CDK20_HUMAN
P48230	T4S4_HUMAN
P08185	CBG_HUMAN
Q9Y6Y0	NS1BP_HUMAN
Q9NWQ4	GPT2L_HUMAN
Q8IWW8	HOT_HUMAN
Q9GZT9	EGLN1_HUMAN
P56211	ARP19_HUMAN
P22492	H1T_HUMAN
Q6UWI4	SHSA2_HUMAN
Q9BXS6	NUSAP_HUMAN
Q8WVJ9	TWST2_HUMAN
P04141	CSF2_HUMAN
P00749	UROK_HUMAN
P00451	FA8_HUMAN
P36404	ARL2_HUMAN
P19237	TNNI1_HUMAN
Q9UP65	PA24C_HUMAN
Q6NZ36	FAP20_HUMAN
Q9NYY3	PLK2_HUMAN
Q9C009	FOXQ1_HUMAN
Q9UDY2	ZO2_HUMAN
Q13029	PRDM2_HUMAN
Q6V0I7	FAT4_HUMAN
Q9NPH5	NOX4_HUMAN
Q9BZH6	WDR11_HUMAN
Q7RTU4	BHA09_HUMAN
O95210	STBD1_HUMAN
Q15274	NADC_HUMAN
Q8NI08	NCOA7_HUMAN
P22003	BMP5_HUMAN
Q693B1	KCD11_HUMAN
P55316	FOXG1_HUMAN
Q13562	NDF1_HUMAN
Q969V6	MRTFA_HUMAN
P10275	ANDR_HUMAN
Q13772	NCOA4_HUMAN
P34947	GRK5_HUMAN
Q01101	INSM1_HUMAN
Q9UBM4	OPT_HUMAN
P08047	SP1_HUMAN
Q4G0J3	LARP7_HUMAN
Q92911	SC5A5_HUMAN
Q9ULH1	ASAP1_HUMAN
Q9H0P7	AGIT1_HUMAN
P06307	CCKN_HUMAN
Q9Y2U5	M3K2_HUMAN
P34981	TRFR_HUMAN
O60248	SOX15_HUMAN
Q86UR1	NOXA1_HUMAN
P45983	MK08_HUMAN
O43521	B2L11_HUMAN
A5PLL7	PDES1_HUMAN
P05106	ITB3_HUMAN
Q92520	FAM3C_HUMAN
Q6X4U4	SOSD1_HUMAN
P03956	MMP1_HUMAN
P85299	PRR5_HUMAN
Q96PD4	IL17F_HUMAN
P22413	ENPP1_HUMAN
Q9Y5W3	KLF2_HUMAN
P40225	TPO_HUMAN
Q06495	NPT2A_HUMAN
Q9H3P7	GCP60_HUMAN
Q15915	ZIC1_HUMAN
Q9H772	GREM2_HUMAN
Q96PE7	MCEE_HUMAN
Q16778	H2B2E_HUMAN
Q86WX3	AROS_HUMAN
Q96S96	PEBP4_HUMAN
Q15759	MK11_HUMAN
Q13233	M3K1_HUMAN
P42166	LAP2A_HUMAN
O95049	ZO3_HUMAN
O43396	TXNL1_HUMAN
Q00613	HSF1_HUMAN
P42224	STAT1_HUMAN
Q16643	DREB_HUMAN
Q14839	CHD4_HUMAN
P13569	CFTR_HUMAN
Q4L235	ACSF4_HUMAN
Q9NWU1	OXSM_HUMAN
P25713	MT3_HUMAN
Q14457	BECN1_HUMAN
P33151	CADH5_HUMAN
Q9H788	SH24A_HUMAN
O95352	ATG7_HUMAN
Q9NPG4	PCD12_HUMAN
Q13085	ACACA_HUMAN
Q96AP7	ESAM_HUMAN
Q13131	AAPK1_HUMAN
Q02763	TIE2_HUMAN
Q06413	MEF2C_HUMAN
Q13127	REST_HUMAN
P47902	CDX1_HUMAN
O43365	HXA3_HUMAN
Q15424	SAFB1_HUMAN
P0DTU4	TRBR2_HUMAN
Q6P2M8	KCC1B_HUMAN
Q9HC21	TPC_HUMAN
P02458	CO2A1_HUMAN
P22301	IL10_HUMAN
P46093	GPR4_HUMAN
Q969T4	UB2E3_HUMAN
Q5VYK3	ECM29_HUMAN
Q13508	NAR3_HUMAN
Q96AD5	PLPL2_HUMAN
Q9H9K5	MER34_HUMAN
O43174	CP26A_HUMAN
Q9BY41	HDAC8_HUMAN
Q9H611	PIF1_HUMAN
Q96JK4	HIPL1_HUMAN
Q9BY79	MFRP_HUMAN
P01019	ANGT_HUMAN
P04118	COL_HUMAN
P22897	MRC1_HUMAN
P50613	CDK7_HUMAN
Q9ULZ3	ASC_HUMAN
P54252	ATX3_HUMAN
Q9BZS1	FOXP3_HUMAN
Q9NRP7	STK36_HUMAN
Q96PU8	QKI_HUMAN
Q6ZRI8	RHG36_HUMAN
P58005	SESN3_HUMAN
Q06124	PTN11_HUMAN
Q05707	COEA1_HUMAN
P27105	STOM_HUMAN
Q12888	TP53B_HUMAN
Q13304	GPR17_HUMAN
P08559	ODPA_HUMAN
Q07820	MCL1_HUMAN
Q9H2C0	GAN_HUMAN
Q16143	SYUB_HUMAN
P41231	P2RY2_HUMAN
Q92759	TF2H4_HUMAN
Q9P1W3	CSC1_HUMAN
Q66K80	RUAS1_HUMAN
Q6P1J9	CDC73_HUMAN
Q08211	DHX9_HUMAN
O60682	MUSC_HUMAN
Q96KA5	CLP1L_HUMAN
P42785	PCP_HUMAN
P21554	CNR1_HUMAN
P57105	SYJ2B_HUMAN
Q3SYG4	PTHB1_HUMAN
Q5RHP9	ERIC3_HUMAN
O00327	BMAL1_HUMAN
Q9BXB1	LGR4_HUMAN
Q9Y625	GPC6_HUMAN
P04629	NTRK1_HUMAN
Q8IX21	SLF2_HUMAN
O75610	LFTY1_HUMAN
Q9ULJ1	ODF2L_HUMAN
P98179	RBM3_HUMAN
Q00341	VIGLN_HUMAN
O15439	MRP4_HUMAN
Q96L92	SNX27_HUMAN
Q92832	NELL1_HUMAN
Q15334	L2GL1_HUMAN
Q6P1M3	L2GL2_HUMAN
Q14145	KEAP1_HUMAN
P10589	COT1_HUMAN
Q9NQ29	LUC7L_HUMAN
P41217	OX2G_HUMAN
O43526	KCNQ2_HUMAN
P01282	VIP_HUMAN
Q8NEA6	GLIS3_HUMAN
Q16363	LAMA4_HUMAN
Q86W50	MET16_HUMAN
P08183	MDR1_HUMAN
Q01844	EWS_HUMAN
P29762	RABP1_HUMAN
P26441	CNTF_HUMAN
Q9NQV8	PRDM8_HUMAN
O60266	ADCY3_HUMAN
Q12948	FOXC1_HUMAN
Q5VYJ5	MALR1_HUMAN
Q9NR63	CP26B_HUMAN
Q08830	FGL1_HUMAN
Q9H8K7	PAAT_HUMAN
Q9BZC7	ABCA2_HUMAN
Q5T2W1	NHRF3_HUMAN
P45844	ABCG1_HUMAN
Q9ULW3	ABT1_HUMAN
P25100	ADA1D_HUMAN
P39748	FEN1_HUMAN
Q9GZZ1	NAA50_HUMAN
Q01453	PMP22_HUMAN
P31639	SC5A2_HUMAN
Q9H1Y0	ATG5_HUMAN
O60291	MGRN1_HUMAN
P32942	ICAM3_HUMAN
P13598	ICAM2_HUMAN
P02649	APOE_HUMAN
P30203	CD6_HUMAN
P31269	HXA9_HUMAN
Q9UQC2	GAB2_HUMAN
O95801	TTC4_HUMAN
P09237	MMP7_HUMAN
Q9UIA9	XPO7_HUMAN
Q96HE9	PRR11_HUMAN
Q8WVK7	SKA2_HUMAN
Q02297	NRG1_HUMAN
P35052	GPC1_HUMAN
P11166	GTR1_HUMAN
P14672	GLUT4_HUMAN
Q9UPT9	UBP22_HUMAN
P36956	SRBP1_HUMAN
O75376	NCOR1_HUMAN
P51692	STA5B_HUMAN
Q08722	CD47_HUMAN
Q9P1W8	SIRPG_HUMAN
Q8TDX7	NEK7_HUMAN
P0DMW2	PYDC4_HUMAN
Q96P20	NLRP3_HUMAN
O14641	DVL2_HUMAN
Q9NQ88	TIGAR_HUMAN
Q9P2D6	F135A_HUMAN
P49675	STAR_HUMAN
Q5EBL8	PDZ11_HUMAN
Q5VTB9	RN220_HUMAN
Q8NCU7	C2C4A_HUMAN
P01111	RASN_HUMAN
P49116	NR2C2_HUMAN
A6NFN3	RFOX3_HUMAN
P40305	IFI27_HUMAN
Q01196	RUNX1_HUMAN
O43681	GET3_HUMAN
P23771	GATA3_HUMAN
Q92786	PROX1_HUMAN
Q9NQC1	JADE2_HUMAN
Q5T6S3	PHF19_HUMAN
P39687	AN32A_HUMAN
Q9NSK7	CS012_HUMAN
O95388	CCN4_HUMAN
Q01105	SET_HUMAN
Q9H4M3	FBX44_HUMAN
Q9ULT6	ZNRF3_HUMAN
Q9H6P5	TASP1_HUMAN
Q9HBH9	MKNK2_HUMAN
Q8IY49	PAQRA_HUMAN
O15374	MOT5_HUMAN
Q9NP97	DLRB1_HUMAN
O75747	P3C2G_HUMAN
O94991	SLIK5_HUMAN
Q96CS2	HAUS1_HUMAN
Q96B97	SH3K1_HUMAN
Q13613	MTMR1_HUMAN
Q15125	EBP_HUMAN
Q96C45	ULK4_HUMAN
O95997	PTTG1_HUMAN
Q9UHN6	CEIP2_HUMAN
Q8TAK6	OLIG1_HUMAN
P01266	THYG_HUMAN
Q15369	ELOC_HUMAN
O75093	SLIT1_HUMAN
P28065	PSB9_HUMAN
P08069	IGF1R_HUMAN
Q9H1P3	OSBL2_HUMAN
Q96T25	ZIC5_HUMAN
Q96QR1	SG3A1_HUMAN
Q96BD6	SPSB1_HUMAN
Q07157	ZO1_HUMAN
Q9BUP3	HTAI2_HUMAN
O43889	CREB3_HUMAN
O14672	ADA10_HUMAN
Q6P6C2	ALKB5_HUMAN
Q15363	TMED2_HUMAN
P60880	SNP25_HUMAN
O75204	TM127_HUMAN
P35638	DDIT3_HUMAN
Q13642	FHL1_HUMAN
Q8IXI1	MIRO2_HUMAN
P02675	FIBB_HUMAN
P50579	MAP2_HUMAN
O95376	ARI2_HUMAN
Q9GZV9	FGF23_HUMAN
Q8TD10	MIPO1_HUMAN
P24468	COT2_HUMAN
P78347	GTF2I_HUMAN
P29371	NK3R_HUMAN
Q3LXA3	TKFC_HUMAN
Q15361	TTF1_HUMAN
